CategoryDelivery,BrandID,Brand,total_observations,anomalies_count,median_ots,mad_ots,max_ots,max_z_score
Крупная техника,207286,hisense,272,19,4143.5045,2035.263,72546.448,33.608896491509945
Макияж для глаз,221223,vivienne sabo,313,18,3872.514,1998.2299999999996,51809.553,23.989750429129785
Смарт-часы и браслеты,215268,polar (бытовая техника),119,18,1528.972,490.11400000000003,18297.57,34.21366865667987
Малая техника,201236,canon,392,18,4243.744000000001,2403.4030000000002,106568.96100000001,42.575139084040416
Крупная техника,207902,indesit,423,17,3141.486,1619.3359999999998,208544.57399999996,126.84402001808148
Крупная техника,224020,atlant (бытовая техника),364,17,3679.1205,1837.938,107994.115,56.75653612907508
Аудиотехника,211419,marshall (электроника),207,17,4326.212,2686.0600000000004,70290.306,24.55793764845163
Крупная техника,203071,dexp,254,17,4052.0789999999997,2071.6360000000004,145820.88,68.43325806270985
Корм для кошек,215761,purina one,468,17,3868.2485,1956.242,47799.746,22.45708736444673
Корм для кошек,216798,royal canin,537,17,3494.943,1644.6890000000003,67011.056,38.61892005114644
Одежда,218758,stone island,219,16,3092.075,1229.793,53110.79,40.67246682978355
Крупная техника,221535,weissgauff,230,16,3937.938,2016.315,115729.25499999999,55.443379134708614
Аудиотехника,207543,huawei,307,16,4492.848,2553.398,104221.792,39.057343978494536
Смарт-часы и браслеты,216181,redmi,274,16,3986.4535,2219.8415000000005,49065.176,20.3071807153799
Товары для стирки,230759,ласка,269,16,3723.764,1629.605,51779.08,29.48893504867744
Крупная техника,212017,midea,225,16,3980.498,2057.178,141982.584,67.08320135642128
Малая техника,219383,tefal,509,16,3599.125,1642.181,106581.41,62.71067866453211
Аудиотехника,207328,hoco,310,15,4210.592,2064.4034999999994,176702.2,83.55518095178586
Краски для волос,204459,estel,417,15,4275.183,2065.683,149986.382,70.53899315625874
Уход за полостью рта,216621,rocs,290,15,4181.0785,1925.9484999999995,81742.818,40.27196962950983
Смартфоны,213703,nothing,281,15,4612.848,2551.281000000001,126341.188,47.71263533887485
Средства для волос,212359,mixit,264,15,4160.0235,1956.0100000000002,55485.516,26.23989268971017
Смартфоны,214393,oukitel,267,15,3257.091,1765.7950000000005,54943.632000000005,29.270974830034056
Товары для стирки,206519,grass,278,14,4061.5625,1799.69,46139.196,23.38048969544755
Малая техника,214553,panasonic,266,14,3553.5825,1819.5275000000001,131745.624,70.45347844426644
Обувь,219127,ttaccardi,472,14,3283.1625000000004,1439.5295000000003,27400.872,16.75388347373221
Крупная техника,224637,бирюса (техника),301,14,4095.96,2265.0060000000003,67501.89,27.99371392393662
Корм для кошек,209225,kitekat,377,14,3819.43,1822.426,54364.772,27.7351958323685
Крупная техника,205948,gefest (бытовая техника),306,13,3873.434,2196.1955,69597.32,29.926245637057367
Аудиотехника,216181,redmi,209,13,3950.598,2470.864,78739.12,30.268166115172665
Малая техника,202901,delonghi,239,13,3667.263,1827.6689999999999,55588.04,28.40819480989173
Средства для умывания и ухода за лицом,200194,bioderma,226,13,3840.7695,1847.5535,31074.6,14.74048275192031
Малая техника,206413,gopro,139,13,3543.062,1744.942,113593.168,63.068059568742115
Аудиотехника,215085,pioneer,86,13,4491.299,2791.455,137107.502,47.50791361494275
Одежда,210662,lonsdale,85,13,2998.731,1239.2210000000002,76881.249,59.62013071114836
Средства для умывания и ухода за лицом,213565,nivea,215,13,2911.537,1358.6409999999998,61779.478,43.32854742349157
Одежда,222481,zolla,639,13,4019.262,1819.9880000000003,31663.359,15.189164434051213
Подгузники,207558,huggies,276,12,4857.9295,2630.2325,53263.826,18.403656901053424
Средства для умывания и ухода за лицом,198590,aravia,312,12,4227.321,2220.8374999999996,58930.684,24.631862079058017
Малая техника,217082,samsung,205,12,3746.87,1975.126,68986.026,33.03037679621452
Обувь,199911,belwest,127,12,2193.858,954.4340000000002,34347.465000000004,33.688664695515875
Обувь,215722,puma,412,12,4504.6315,2637.6020000000008,80754.245,28.908688081067563
Товары для стирки,209879,lamm,173,11,3814.863,1941.6319999999998,41945.565,19.63848041235415
Крупная техника,199661,baxi,117,11,3844.341,1383.8219999999997,37085.949,24.021592372429406
Уход за полостью рта,202042,colgate,135,11,2758.9,1342.4779999999996,27182.386,18.192838914306233
Крупная техника,200656,bosch,358,11,3901.932,2080.734,47983.418000000005,21.185546062110777
Смартфоны,200371,blackview,149,11,3665.542,2068.9849999999997,64027.856999999996,29.17484418688391
Обувь,203835,ecco,541,11,3583.048,1436.1479999999997,33385.509000000005,20.75166417388738
Обувь,217050,salomon,174,11,3663.964,1942.3094999999998,91099.624,45.01633750954728
Аудиотехника,221942,xiaomi,260,11,3605.6295,1701.3920000000003,51445.606,28.118138853362417
Крупная техника,207501,hotpoint,170,11,4216.438,1997.272,199377.669,97.71389725585699
Одежда,217412,sela,365,11,4053.934,1699.0959999999995,37310.127,19.572874634511532
Крупная техника,220042,toshiba,141,11,3455.96,1452.866,69102.501,45.184167707138855
Корм для кошек,217610,sheba,253,11,2696.001,1011.2429999999999,24738.909,21.797834941749908
Малая техника,200656,bosch,259,11,3334.207,1491.8249999999998,43690.462,27.051601226685438
Краски для волос,210685,loreal,204,11,3520.0805,1347.2295,90123.492,64.28259735998952
Малая техника,214236,oralb,193,11,3958.038,1777.65,116290.902,63.19177790903721
Средства для маникюра,209895,lancome,211,11,3255.054,1566.6760000000002,35841.144,20.799508002931045
Малая техника,200782,braun,302,11,3543.4255,1762.8275000000003,68379.16,36.7793981543855
Детское питание,213067,nestle nan,231,11,5113.941,2650.475,131060.8,47.518599119025836
Корм для собак,201581,chappi,141,10,3657.162,1515.6460000000002,109011.808,69.51138062581896
Аудиотехника,281079,samsung galaxy,208,10,4405.7065,2635.2515000000003,92532.18000000001,33.44139012917742
Дезодоранты,216394,rexona,420,10,3692.946,1839.3845,27251.298,12.80773650098715
Одежда,214365,ostin,403,10,3960.348,1812.103,33764.862,16.447472356703788
Детское питание,213816,nutrilak,230,10,4301.481,2229.082,55316.672,22.88618857448941
Детское питание,213820,nutrilon,261,10,4861.42,2249.178,53834.834,21.773916515278028
Туалетная бумага,222393,zewa,249,10,3788.749,1679.0389999999998,106294.336,61.05015249794675
Детские одежда и обувь,213474,nike,120,10,3357.607,1638.608,39047.542,21.78064247214709
Обувь,201263,caprice,97,10,2275.668,704.3579999999997,59405.81,81.10952385008763
Товары для стирки,219709,tide,238,10,3451.634,1454.1375,81164.916,53.44287043006592
Корм для собак,216798,royal canin,192,9,3709.764,1810.9180000000001,27033.73,12.879636736726898
Смарт-часы и браслеты,207447,honor,264,9,4043.739,2238.6800000000003,112017.339,48.23092179319956
