SubjectID,researchdate,BrandID,Brand,CategoryDelivery,daily_ots,score,threshold,median_ots,mad_ots,reason
6566259415539718023,2025-10-29,198476,apple airpods,Аудиотехника,31543.095,10.48830247466441,8.0,4491.896,2579.178,"Robust Z-score = 10.49 > 8.0 (median=4492, MAD=2579)"
7000147901829877888,2025-07-24,198476,apple airpods,Аудиотехника,58825.023,21.066063296135436,8.0,4491.896,2579.178,"Robust Z-score = 21.07 > 8.0 (median=4492, MAD=2579)"
7000147901829877888,2025-10-06,198476,apple airpods,Аудиотехника,26720.685,8.618555601823527,8.0,4491.896,2579.178,"Robust Z-score = 8.62 > 8.0 (median=4492, MAD=2579)"
7493996866413375674,2025-08-05,198476,apple airpods,Аудиотехника,31575.807,10.5009855853299,8.0,4491.896,2579.178,"Robust Z-score = 10.50 > 8.0 (median=4492, MAD=2579)"
8214573080945950912,2025-07-23,198476,apple airpods,Аудиотехника,46822.915,16.41260083639051,8.0,4491.896,2579.178,"Robust Z-score = 16.41 > 8.0 (median=4492, MAD=2579)"
8583871904837544942,2025-09-03,198476,apple airpods,Аудиотехника,26497.32,8.531952428254273,8.0,4491.896,2579.178,"Robust Z-score = 8.53 > 8.0 (median=4492, MAD=2579)"
8872100102946455617,2025-10-10,198476,apple airpods,Аудиотехника,25646.581,8.202103538414176,8.0,4491.896,2579.178,"Robust Z-score = 8.20 > 8.0 (median=4492, MAD=2579)"
8872102004503143591,2025-10-02,198476,apple airpods,Аудиотехника,26553.283,8.553650426608788,8.0,4491.896,2579.178,"Robust Z-score = 8.55 > 8.0 (median=4492, MAD=2579)"
8872102004503143591,2025-10-05,198476,apple airpods,Аудиотехника,26880.385,8.68047455429598,8.0,4491.896,2579.178,"Robust Z-score = 8.68 > 8.0 (median=4492, MAD=2579)"
801651206834379886,2025-10-16,199083,audio technica,Аудиотехника,45118.956,21.618439438896573,8.0,3502.0765,1925.064,"Robust Z-score = 21.62 > 8.0 (median=3502, MAD=1925)"
7863297125675401793,2025-09-23,199083,audio technica,Аудиотехника,19483.696,8.301863989976438,8.0,3502.0765,1925.064,"Robust Z-score = 8.30 > 8.0 (median=3502, MAD=1925)"
6710375698481685377,2025-10-07,199515,baofeng,Аудиотехника,23273.934,8.16514442726994,8.0,7297.102,1956.7114999999994,"Robust Z-score = 8.17 > 8.0 (median=7297, MAD=1957)"
6629304165209879017,2025-10-16,199691,bbk,Аудиотехника,24658.484,10.664682459381634,8.0,3577.6915,1976.692,"Robust Z-score = 10.66 > 8.0 (median=3578, MAD=1977)"
8800233530290716352,2025-07-13,199739,beats,Аудиотехника,31357.596,17.68082195518627,8.0,3494.371,1575.901,"Robust Z-score = 17.68 > 8.0 (median=3494, MAD=1576)"
576465923186619467,2025-10-08,199821,behringer,Аудиотехника,38378.055,10.121575052583758,8.0,5135.928,3284.2840000000006,"Robust Z-score = 10.12 > 8.0 (median=5136, MAD=3284)"
2242804895778101824,2025-08-24,199821,behringer,Аудиотехника,42277.598,11.308909339143629,8.0,5135.928,3284.2840000000006,"Robust Z-score = 11.31 > 8.0 (median=5136, MAD=3284)"
2242804895778101824,2025-09-18,199821,behringer,Аудиотехника,40919.992,10.89554496505174,8.0,5135.928,3284.2840000000006,"Robust Z-score = 10.90 > 8.0 (median=5136, MAD=3284)"
2315199378964214784,2025-10-21,199821,behringer,Аудиотехника,39017.909999999996,10.316398338267943,8.0,5135.928,3284.2840000000006,"Robust Z-score = 10.32 > 8.0 (median=5136, MAD=3284)"
5044039385649898752,2025-08-17,199821,behringer,Аудиотехника,109032.176,31.634367795233295,8.0,5135.928,3284.2840000000006,"Robust Z-score = 31.63 > 8.0 (median=5136, MAD=3284)"
7647124857813028096,2025-10-25,199821,behringer,Аудиотехника,645349.152,194.9323578594299,8.0,5135.928,3284.2840000000006,"Robust Z-score = 194.93 > 8.0 (median=5136, MAD=3284)"
4693143371013972608,2025-10-24,200061,beyerdynamic,Аудиотехника,32151.348,10.013842034149992,8.0,5581.671,2653.295,"Robust Z-score = 10.01 > 8.0 (median=5582, MAD=2653)"
1585271561336969686,2025-07-11,200640,borofone,Аудиотехника,36552.318,13.570103216034685,8.0,3975.9825,2400.596,"Robust Z-score = 13.57 > 8.0 (median=3976, MAD=2401)"
1585271561336969686,2025-10-01,200640,borofone,Аудиотехника,24235.722,8.439462325189247,8.0,3975.9825,2400.596,"Robust Z-score = 8.44 > 8.0 (median=3976, MAD=2401)"
9089624774756751424,2025-06-01,200640,borofone,Аудиотехника,28521.426,10.224728983968982,8.0,3975.9825,2400.596,"Robust Z-score = 10.22 > 8.0 (median=3976, MAD=2401)"
4621288485247139456,2025-10-25,200724,bowers wilkins,Аудиотехника,7632.656,13.356798192991066,8.0,2511.713,383.39599999999973,"Robust Z-score = 13.36 > 8.0 (median=2512, MAD=383)"
8502804186997688584,2025-06-04,200724,bowers wilkins,Аудиотехника,7377.612,12.691574768646525,8.0,2511.713,383.39599999999973,"Robust Z-score = 12.69 > 8.0 (median=2512, MAD=383)"
1729388589032331985,2025-10-01,201549,cgpods,Аудиотехника,34973.085,18.832757800180882,8.0,3156.12,1689.4480000000003,"Robust Z-score = 18.83 > 8.0 (median=3156, MAD=1689)"
3458771664316827264,2025-10-10,202390,creative,Аудиотехника,18588.16,10.26988439103738,8.0,4818.165499999999,1340.8129999999999,"Robust Z-score = 10.27 > 8.0 (median=4818, MAD=1341)"
3458771664316827264,2025-10-13,202390,creative,Аудиотехника,35265.695999999996,22.708260212274194,8.0,4818.165499999999,1340.8129999999999,"Robust Z-score = 22.71 > 8.0 (median=4818, MAD=1341)"
1585271561336771887,2025-10-01,202845,defender,Аудиотехника,18858.312,13.977757517450245,8.0,3036.427,1131.9329999999995,"Robust Z-score = 13.98 > 8.0 (median=3036, MAD=1132)"
1585271561336938714,2025-07-19,202845,defender,Аудиотехника,23699.124,18.254346326151822,8.0,3036.427,1131.9329999999995,"Robust Z-score = 18.25 > 8.0 (median=3036, MAD=1132)"
1585271561337001691,2025-09-03,202845,defender,Аудиотехника,139257.498,120.34375797860832,8.0,3036.427,1131.9329999999995,"Robust Z-score = 120.34 > 8.0 (median=3036, MAD=1132)"
4693319292874423872,2025-07-21,202845,defender,Аудиотехника,23253.676,17.86081773391182,8.0,3036.427,1131.9329999999995,"Robust Z-score = 17.86 > 8.0 (median=3036, MAD=1132)"
6629304165209877571,2025-07-22,202964,denon,Аудиотехника,38664.894,15.167885198640146,8.0,3672.416,2307.011,"Robust Z-score = 15.17 > 8.0 (median=3672, MAD=2307)"
6629304165209877571,2025-07-23,202964,denon,Аудиотехника,78347.144,32.36860509117642,8.0,3672.416,2307.011,"Robust Z-score = 32.37 > 8.0 (median=3672, MAD=2307)"
6629304165209877571,2025-08-08,202964,denon,Аудиотехника,81341.296,33.66645412613984,8.0,3672.416,2307.011,"Robust Z-score = 33.67 > 8.0 (median=3672, MAD=2307)"
6629304165209877571,2025-08-14,202964,denon,Аудиотехника,35875.942,13.958982423577522,8.0,3672.416,2307.011,"Robust Z-score = 13.96 > 8.0 (median=3672, MAD=2307)"
6629304165209877571,2025-09-02,202964,denon,Аудиотехника,38580.254,15.131197033737596,8.0,3672.416,2307.011,"Robust Z-score = 15.13 > 8.0 (median=3672, MAD=2307)"
6629304165209877571,2025-10-07,202964,denon,Аудиотехника,54604.227,22.076969290566886,8.0,3672.416,2307.011,"Robust Z-score = 22.08 > 8.0 (median=3672, MAD=2307)"
585481725913662850,2025-08-02,203106,dialog,Аудиотехника,20520.478,16.76112862304912,8.0,3079.518,1040.5600000000004,"Robust Z-score = 16.76 > 8.0 (median=3080, MAD=1041)"
6629304165209878726,2025-09-17,203106,dialog,Аудиотехника,19030.039,15.328785461674478,8.0,3079.518,1040.5600000000004,"Robust Z-score = 15.33 > 8.0 (median=3080, MAD=1041)"
1585271561336668320,2025-07-07,203262,dji,Аудиотехника,10203.705,8.722191483850196,8.0,3267.452,795.2420000000002,"Robust Z-score = 8.72 > 8.0 (median=3267, MAD=795)"
1585271561336668320,2025-07-12,203262,dji,Аудиотехника,10860.676,9.548318625022317,8.0,3267.452,795.2420000000002,"Robust Z-score = 9.55 > 8.0 (median=3267, MAD=795)"
1585271561336668320,2025-07-21,203262,dji,Аудиотехника,13827.484,13.279016953329926,8.0,3267.452,795.2420000000002,"Robust Z-score = 13.28 > 8.0 (median=3267, MAD=795)"
1585271561336668320,2025-07-28,203262,dji,Аудиотехника,10042.884,8.51996247683095,8.0,3267.452,795.2420000000002,"Robust Z-score = 8.52 > 8.0 (median=3267, MAD=795)"
4844634155853,2025-07-27,203935,edifier,Аудиотехника,58740.225000000006,17.17924769392556,8.0,4961.827,3130.428,"Robust Z-score = 17.18 > 8.0 (median=4962, MAD=3130)"
1585271561337020067,2025-07-17,203935,edifier,Аудиотехника,39265.992,10.958298673536015,8.0,4961.827,3130.428,"Robust Z-score = 10.96 > 8.0 (median=4962, MAD=3130)"
8872102004503143591,2025-08-05,203935,edifier,Аудиотехника,293730.784,92.24583890765096,8.0,4961.827,3130.428,"Robust Z-score = 92.25 > 8.0 (median=4962, MAD=3130)"
1585271561337023951,2025-08-30,205014,fiero,Аудиотехника,38069.814,17.79268551858827,8.0,2948.9655000000002,1973.8925000000002,"Robust Z-score = 17.79 > 8.0 (median=2949, MAD=1974)"
2738194092690289025,2025-10-10,205014,fiero,Аудиотехника,25646.581,11.498911668188617,8.0,2948.9655000000002,1973.8925000000002,"Robust Z-score = 11.50 > 8.0 (median=2949, MAD=1974)"
5044039385649898752,2025-07-28,205014,fiero,Аудиотехника,162196.218,80.67676051254057,8.0,2948.9655000000002,1973.8925000000002,"Robust Z-score = 80.68 > 8.0 (median=2949, MAD=1974)"
5044039385649898752,2025-09-19,205014,fiero,Аудиотехника,26661.805,12.013237549663925,8.0,2948.9655000000002,1973.8925000000002,"Robust Z-score = 12.01 > 8.0 (median=2949, MAD=1974)"
1585271561336775309,2025-10-13,205023,fifine,Аудиотехника,63538.455,12.358740898479638,8.0,7834.965,4507.214,"Robust Z-score = 12.36 > 8.0 (median=7835, MAD=4507)"
1585271561336775309,2025-10-13,205023,fifine,Аудиотехника,48131.049999999996,8.940353176041784,8.0,7834.965,4507.214,"Robust Z-score = 8.94 > 8.0 (median=7835, MAD=4507)"
2305848744076622405,2025-07-29,205023,fifine,Аудиотехника,91294.524,18.516884044112395,8.0,7834.965,4507.214,"Robust Z-score = 18.52 > 8.0 (median=7835, MAD=4507)"
3972183818959580032,2025-09-24,205023,fifine,Аудиотехника,117336.296,24.294682036397653,8.0,7834.965,4507.214,"Robust Z-score = 24.29 > 8.0 (median=7835, MAD=4507)"
7576643904375722625,2025-08-28,205023,fifine,Аудиотехника,68115.41,13.374214093229211,8.0,7834.965,4507.214,"Robust Z-score = 13.37 > 8.0 (median=7835, MAD=4507)"
5188154264055124614,2025-08-05,205029,fiio,Аудиотехника,78960.951,47.62949376697297,8.0,2913.034,1596.6560000000002,"Robust Z-score = 47.63 > 8.0 (median=2913, MAD=1597)"
6052843423965704598,2025-10-04,205029,fiio,Аудиотехника,19278.826,10.250042589011032,8.0,2913.034,1596.6560000000002,"Robust Z-score = 10.25 > 8.0 (median=2913, MAD=1597)"
6629304165209877503,2025-08-31,205029,fiio,Аудиотехника,31742.968,18.05644672365243,8.0,2913.034,1596.6560000000002,"Robust Z-score = 18.06 > 8.0 (median=2913, MAD=1597)"
6629304165209877571,2025-06-24,206665,grundig,Аудиотехника,52769.04,17.46179269641656,8.0,5276.9015,2719.7745,"Robust Z-score = 17.46 > 8.0 (median=5277, MAD=2720)"
576465923186619466,2025-10-01,207328,hoco,Аудиотехника,25890.738,10.501893646276034,8.0,4210.592,2064.4034999999994,"Robust Z-score = 10.50 > 8.0 (median=4211, MAD=2064)"
1585271561337001691,2025-07-07,207328,hoco,Аудиотехника,176702.2,83.55518095178586,8.0,4210.592,2064.4034999999994,"Robust Z-score = 83.56 > 8.0 (median=4211, MAD=2064)"
1585271561337001691,2025-07-11,207328,hoco,Аудиотехника,43863.608,19.207977510210583,8.0,4210.592,2064.4034999999994,"Robust Z-score = 19.21 > 8.0 (median=4211, MAD=2064)"
2233792637557835716,2025-07-22,207328,hoco,Аудиотехника,21726.034,8.484505088273686,8.0,4210.592,2064.4034999999994,"Robust Z-score = 8.48 > 8.0 (median=4211, MAD=2064)"
3179552246924931267,2025-10-16,207328,hoco,Аудиотехника,21497.248,8.373680823540555,8.0,4210.592,2064.4034999999994,"Robust Z-score = 8.37 > 8.0 (median=4211, MAD=2064)"
6279193784262148864,2025-08-07,207328,hoco,Аудиотехника,47023.518,20.738642421406478,8.0,4210.592,2064.4034999999994,"Robust Z-score = 20.74 > 8.0 (median=4211, MAD=2064)"
6279193784262148864,2025-08-31,207328,hoco,Аудиотехника,24105.324,9.63703655801785,8.0,4210.592,2064.4034999999994,"Robust Z-score = 9.64 > 8.0 (median=4211, MAD=2064)"
6629304165209878501,2025-07-02,207328,hoco,Аудиотехника,21722.496,8.482791276027193,8.0,4210.592,2064.4034999999994,"Robust Z-score = 8.48 > 8.0 (median=4211, MAD=2064)"
7142969781737756800,2025-10-29,207328,hoco,Аудиотехника,21775.49,8.508461645216164,8.0,4210.592,2064.4034999999994,"Robust Z-score = 8.51 > 8.0 (median=4211, MAD=2064)"
7358893580340059008,2025-08-19,207328,hoco,Аудиотехника,43128.696,18.851985089155303,8.0,4210.592,2064.4034999999994,"Robust Z-score = 18.85 > 8.0 (median=4211, MAD=2064)"
7421939325345059009,2025-07-26,207328,hoco,Аудиотехника,24465.676,9.811591580812571,8.0,4210.592,2064.4034999999994,"Robust Z-score = 9.81 > 8.0 (median=4211, MAD=2064)"
7504595499245301568,2025-09-26,207328,hoco,Аудиотехника,25886.64,10.499908569230776,8.0,4210.592,2064.4034999999994,"Robust Z-score = 10.50 > 8.0 (median=4211, MAD=2064)"
8655932031432152448,2025-10-30,207328,hoco,Аудиотехника,21894.268,8.565997877837352,8.0,4210.592,2064.4034999999994,"Robust Z-score = 8.57 > 8.0 (median=4211, MAD=2064)"
8727990074356782016,2025-10-01,207328,hoco,Аудиотехника,26709.284,10.898398496224214,8.0,4210.592,2064.4034999999994,"Robust Z-score = 10.90 > 8.0 (median=4211, MAD=2064)"
8935148960500687616,2025-07-27,207328,hoco,Аудиотехника,22962.321,9.083364274474444,8.0,4210.592,2064.4034999999994,"Robust Z-score = 9.08 > 8.0 (median=4211, MAD=2064)"
1017826062559976640,2025-09-30,207447,honor,Аудиотехника,34679.006,14.693896620100881,8.0,3400.505,2128.673,"Robust Z-score = 14.69 > 8.0 (median=3401, MAD=2129)"
1585271561337035030,2025-06-06,207447,honor,Аудиотехника,48486.854,21.180495548165457,8.0,3400.505,2128.673,"Robust Z-score = 21.18 > 8.0 (median=3401, MAD=2129)"
